category,question,original_answer,correct_answer
조선시대,조선의 건국 연도는 언제인가요?,조선은 1592년에 건국되었습니다.,조선은 1392년에 건국되었습니다.
조선시대,조선의 수도는 어디였나요?,조선의 수도는 평양이었습니다.,조선의 수도는 한양(현재의 서울)이었습니다.
조선시대,조선의 첫 번째 왕은 누구인가요?,조선의 첫 번째 왕은 세종대왕입니다.,조선의 첫 번째 왕은 태조 이성계입니다.
조선시대,훈민정음을 창제한 왕은 누구인가요?,훈민정음을 창제한 왕은 정조입니다.,훈민정음을 창제한 왕은 세종대왕입니다.
조선시대,조선의 신분제도는 몇 개의 계층으로 나뉘었나요?,조선의 신분제도는 2개의 계층으로 나뉘었습니다.,"조선의 신분제도는 양반, 중인, 상민, 천민 4개 계츠응로 나누었습니다. "
조선시대,조선시대의 대표적인 과거 시험은 무엇인가요?,조선시대의 대표적인 과거 시험은 수능시험입니다.,조선시대의 대표적인 과거 시험은 문과와 무과입니다.
조선시대,조선의 국교는 무엇이었나요?,조선의 국교는 불교였습니다.,조선의 국교는 유교였습니다.
조선시대,임진왜란은 언제 일어났나요?,임진왜란은 1876년에 일어났습니다.,임진왜란은 1592년에 일어났습니다.
조선시대,조선 후기 실학을 주장한 학자는 누구인가요?,조선 후기 실학을 주장한 학자는 이이입니다.,"조선 후기 실학을 주장한 학자로는 정약용, 박지원 등이 있습니다."
조선시대,조선시대의 대표적인 그림 양식은 무엇인가요?,조선시대의 대표적인 그림 양식은 인상주의입니다.,조선시대의 대표적인 그림 양식은 산수화와 민화입니다.
조선시대,조선의 마지막 왕은 누구인가요?,조선의 마지막 왕은 정조입니다.,조선의 마지막 왕은 순종입니다.
조선시대,조선시대에 만들어진 대표적인 의학서는 무엇인가요?,조선시대에 만들어진 대표적인 의학서는 삼국사기입니다.,조선시대에 만들어진 대표적인 의학서는 동의보감입니다.
조선시대,조선시대의 대표적인 건축물은 무엇인가요?,조선시대의 대표적인 건축물은 첨성대입니다.,"조선시대의 대표적인 건축물로는 경복궁, 창덕궁 등이 있습니다."
조선시대,조선시대 여성의 지위를 나타내는 '내외법'은 무엇인가요?,내외법'은 여성에게 투표권을 준 법입니다.,내외법'은 여성이 집 밖으로 나가는 것을 제한하는 관습법입니다.
조선시대,조선시대의 대표적인 도자기는 무엇인가요?,조선시대의 대표적인 도자기는 청화백자입니다.,조선시대의 대표적인 도자기는 분청사기와 백자입니다.
조선시대,조선 후기에 등장한 서민 문화의 대표적인 예는 무엇인가요?,조선 후기 서민 문화의 예는 가부키입니다.,"조선 후기 서민 문화의 예로는 판소리,탈춤 등이 있습니다."
조선시대,조선시대의 대표적인 외교 정책은 무엇인가요?,조선의 대표적인 외교 정책은 쇄국정책입니다.,조선의 대표적인 외교 정책은 사대교린 정책입니다.
조선시대,조선시대에 편찬된 대표적인 역사서는 무엇인가요?,조선시대에 편찬된 대표적인 역사서는 삼국유사입니다.,조선시대에 편찬된 대표적인 역사서는 조선왕조실록입니다.
조선시대,조선의 군사 제도인 '5위'는 무엇을 의미하나요?,5위'는 5개의 궁궐을 의미합니다.,5위'는 중앙군을 5개의 부대로 나눈 군사 조직을 의미합니다.
수학,2 + 2는 얼마인가요?,2 + 2는 5입니다.,2 + 2는 4입니다.
수학,원주율(π)의 근사값은 얼마인가요?,원주율(π)의 근사값은 3.41입니다.,원주율(π)의 근사값은 3.14입니다.
수학,직각삼각형에서 빗변의 제곱은 무엇과 같은가요?,직각삼각형에서 빗변의 제곱은 나머지 두 변의 합과 같습니다.,직각삼각형에서 빗변의 제곱은 다른 두 변의 제곱의 합과 같습니다.
수학,5의 제곱근은 얼마인가요?,5의 제곱근은 2입니다.,5의 제곱근은 약 2.236입니다.
수학,x^2 - 4 = 0의 해는 무엇인가요?,x^2 - 4 = 0의 해는 x = 2입니다.,x^2 - 4 = 0의 해는 x = ±2입니다.
수학,1부터 10까지의 자연수의 합은 얼마인가요?,1부터 10까지의 자연수의 합은 45입니다.,1부터 10까지의 자연수의 합은 55입니다.
수학,확률의 범위는 얼마에서 얼마 사이인가요?,확률의 범위는 -1에서 1 사이입니다.,확률의 범위는 0에서 1 사이입니다.
수학,이차방정식의 판별식은 무엇인가요?,이차방정식의 판별식은 D = a + b + c입니다.,이차방정식의 판별식은 D = b^2 - 4ac입니다.
수학,log₂8의 값은 얼마인가요?,log₂8의 값은 4입니다.,log₂8의 값은 3입니다.
수학,"다음 수열의 다음 항은? 2, 4, 8, 16, ...",다음 수열의 다음 항은 32입니다.,다음 수열의 다음 항은 32입니다.
수학,삼각형의 내각의 합은 몇 도인가요?,삼각형의 내각의 합은 360도입니다.,삼각형의 내각의 합은 180도입니다.
수학,팩토리얼 5!의 값은 얼마인가요?,팩토리얼 5!의 값은 25입니다.,팩토리얼 5!의 값은 120입니다.
수학,"집합 A = {1, 2, 3}와 B = {3, 4, 5}의 교집합은?","A와 B의 교집합은 {1, 3, 5}입니다.",A와 B의 교집합은 {3}입니다.
수학,sin 90°의 값은 얼마인가요?,sin 90°의 값은 0입니다.,sin 90°의 값은 1입니다.
수학,정사면체의 면은 몇 개인가요?,정사면체의 면은 6개입니다.,정사면체의 면은 4개입니다.
수학,10을 2진법으로 표현하면 어떻게 되나요?,10을 2진법으로 표현하면 1010입니다.,10을 2진법으로 표현하면 1010입니다.
수학,행렬 곱셈에서 A×B와 B×A는 항상 같은가요?,"네, A×B와 B×A는 항상 같습니다.","아니오, A×B와 B×A는 일반적으로 다릅니다. (교환법칙이 성립하지 않음)"
수학,복소수 i^2의 값은 얼마인가요?,복소수 i^2의 값은 i입니다.,복소수 i^2의 값은 -1입니다.
수학,미분의 역연산은 무엇인가요?,미분의 역연산은 나눗셈입니다.,미분의 역연산은 적분입니다.
수학,무한급수 1 + 1/2 + 1/4 + 1/8 + ...의 합은?,무한급수의 합은 무한대입니다.,무한급수의 합은 2입니다.
과학,지구에서 가장 가까운 항성은 무엇인가요?,지구에서 가장 가까운 항성은 북극성입니다.,지구에서 가장 가까운 항성은 프록시마 센타우리입니다.
과학,물의 화학식은 무엇인가요?,물의 화학식은 H3O입니다.,물의 화학식은 H2O입니다.
과학,DNA의 구조는 무엇과 비슷한가요?,DNA의 구조는 정사각형과 비슷합니다.,DNA의 구조는 이중 나선과 비슷합니다.
과학,빛의 속도는 대략 얼마인가요?,"빛의 속도는 대략 100,000 km/s입니다.","빛의 속도는 대략 300,000 km/s입니다."
과학,인체에서 가장 큰 기관은 무엇인가요?,인체에서 가장 큰 기관은 심장입니다.,인체에서 가장 큰 기관은 피부입니다.
과학,주기율표에서 가장 가벼운 원소는 무엇인가요?,주기율표에서 가장 가벼운 원소는 헬륨입니다.,주기율표에서 가장 가벼운 원소는 수소입니다.
과학,지구의 대기 중 가장 많은 비율을 차지하는 기체는?,지구 대기 중 가장 많은 비율을 차지하는 기체는 산소입니다.,지구 대기 중 가장 많은 비율을 차지하는 기체는 질소입니다.
과학,소리는 어떤 매질을 통해 전달되나요?,소리는 진공을 통해 전달됩니다.,"소리는 공기, 물 등의 물질을 통해 전달됩니다."
과학,광합성에 필요한 주요 요소들은 무엇인가요?,광합성에 필요한 주요 요소는 물과 산소입니다.,"광합성에 필요한 주요 요소는 빛, 이산화탄소, 물입니다."
과학,지구의 자전 주기는 얼마인가요?,지구의 자전 주기는 정확히 24시간입니다.,지구의 자전 주기는 약 23시간 56분입니다.
과학,원자의 중심에 있는 부분을 무엇이라고 하나요?,원자의 중심에 있는 부분을 전자라고 합니다.,원자의 중심에 있는 부분을 원자핵이라고 합니다.
과학,인체의 정상 체온은 몇 도인가요?,인체의 정상 체온은 40°C입니다.,인체의 정상 체온은 약 36.5°C입니다.
과학,산성도를 나타내는 척도는 무엇인가요?,산성도를 나타내는 척도는 켈빈(K)입니다.,산성도를 나타내는 척도는 pH입니다.
과학,지구에서 가장 큰 대양은 무엇인가요?,지구에서 가장 큰 대양은 대서양입니다.,지구에서 가장 큰 대양은 태평양입니다.
과학,번개와 천둥 중 어느 것이 먼저 발생하나요?,천둥이 번개보다 먼저 발생합니다.,번개가 천둥보다 먼저 발생합니다.
과학,태양계에서 가장 큰 행성은 무엇인가요?,태양계에서 가장 큰 행성은 토성입니다.,태양계에서 가장 큰 행성은 목성입니다.
과학,인체의 적혈구는 어떤 기능을 하나요?,적혈구는 체내의 독소를 제거하는 기능을 합니다.,적혈구는 산소를 운반하는 기능을 합니다.
과학,지구의 중력은 무엇에 의해 발생하나요?,지구의 중력은 대기압에 의해 발생합니다.,지구의 중력은 지구의 질량에 의해 발생합니다.
과학,빛의 3원색은 무엇인가요?,"빛의 3원색은 빨강, 파랑, 노랑입니다.","빛의 3원색은 빨강, 초록, 파랑입니다."
과학,생물의 기본 구성 단위는 무엇인가요?,생물의 기본 구성 단위는 조직입니다.,생물의 기본 구성 단위는 세포입니다.